127.0.0.1, 2016-06-02 09:07:22, GET, /, HTTP/1.1, 303, 0.014000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/default/index, HTTP/1.1, 200, 4.002000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-02 09:07:26, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-02 09:07:28, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-06-02 09:07:28, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-02 09:07:30, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2016-06-02 09:07:30, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-02 09:07:30, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.015000
127.0.0.1, 2016-06-02 09:07:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2016-06-02 09:07:45, GET, /admin/default/site, HTTP/1.1, 303, 1.035000
127.0.0.1, 2016-06-02 09:07:45, GET, /admin/default/index, HTTP/1.1, 200, 0.384000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.026000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.028000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.102000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.108000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2016-06-02 09:07:46, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.033000
127.0.0.1, 2016-06-02 09:07:48, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2016-06-02 09:07:53, GET, /welcome/default/index, HTTP/1.1, 200, 0.144000
